id,brand_name,product_name_old,product_name,selection,division,groups,category
0,3CE,글로우 쿠션 본품 리필 pa+++ spf50+,글로우 쿠션 본품 리필 spf50+ pa+++,화장품/미용,베이스메이크업,파운데이션,베이스메이크업
1,3CE,레이어 커버링 스틱 파운데이션 핑크 아이보리,레이어 커버링 스틱 파운데이션 핑크 아이보리,화장품/미용,베이스메이크업,파운데이션,베이스메이크업
2,3CE,레이어 커버링 스틱 파운데이션 spf27,레이어 커버링 스틱 파운데이션 spf27,화장품/미용,베이스메이크업,파운데이션,베이스메이크업
3,3CE,레이어 커버링 스틱 파운데이션 spf27,레이어 커버링 스틱 파운데이션 spf27,화장품/미용,베이스메이크업,파운데이션,베이스메이크업
4,3CE,글로우 빔,글로우 빔,화장품/미용,베이스메이크업,메이크업베이스,베이스메이크업
5,3CE,글로우 립 컬러,글로우 립 컬러,화장품/미용,색조메이크업,립스틱,립메이크업
6,3CE,멀티 아이 컬러 팔레트 클리어 에디션,멀티 아이 컬러 팔레트 클리어 에디션,화장품/미용,색조메이크업,아이섀도,아이섀도
7,3CE,쓰리씨이 레드 레시피 매트 립 컬러 돌리 #211,쓰리씨이 레드 레시피 매트 립 컬러 돌리 #211,화장품/미용,색조메이크업,립스틱,립메이크업
8,3CE,쓰리씨이 레드 레시피 매트 립 컬러 피그 #213,쓰리씨이 레드 레시피 매트 립 컬러 피그 #213,화장품/미용,색조메이크업,립스틱,립메이크업
9,3CE,클리어 아이브로우 픽서,클리어 아이브로우 픽서,화장품/미용,색조메이크업,아이브로,아이브로
10,3CE,무드 레시피 매트 립컬러,무드 레시피 매트 립컬러,화장품/미용,색조메이크업,립스틱,립메이크업
11,3CE,무드 레시피 멀티 아이 컬러 팔레트,무드 레시피 멀티 아이 컬러 팔레트,화장품/미용,색조메이크업,아이섀도,아이섀도
12,3CE,아이섀도우 무드 레시피 멀티 아이 컬러 팔레트 오버테이크,아이섀도우 무드 레시피 멀티 아이 컬러 팔레트 오버테이크,화장품/미용,색조메이크업,아이섀도,아이섀도
13,3CE,무드 레시피 멀티 아이 컬러 팔레트 스무더,무드 레시피 멀티 아이 컬러 팔레트 스무더,화장품/미용,색조메이크업,아이섀도,아이섀도
14,3CE,무드 레시피 매트 립 컬러,무드 레시피 매트 립 컬러,화장품/미용,색조메이크업,립스틱,립메이크업
15,3CE,무드 레드 레시피 립 컬러 미니 키트,무드 레드 레시피 립 컬러 미니 키트,화장품/미용,색조메이크업,립스틱,립메이크업
16,3CE,퀴징 루비 문,퀴징 루비 문,화장품/미용,색조메이크업,립스틱,립메이크업
17,3CE,퀴징 루비 문,퀴징 루비 문,화장품/미용,색조메이크업,립스틱,립메이크업
18,3CE,무드 레시피 립 컬러 미니 키트,무드 레시피 립 컬러 미니 키트,화장품/미용,색조메이크업,립스틱,립메이크업
19,3CE,쓰리씨이 무드 레시피 립 컬러 미니 키트,쓰리씨이 무드 레시피 립 컬러 미니 키트,화장품/미용,색조메이크업,립스틱,립메이크업
20,3CE,레드레시피 립 컬러 문,레드레시피 립 컬러 문,화장품/미용,색조메이크업,립스틱,립메이크업
21,3CE,무드 레시피 멀티 아이 컬러 팔레트,무드 레시피 멀티 아이 컬러 팔레트,화장품/미용,색조메이크업,아이섀도,아이섀도
22,3CE,무드 레시피 매트 립 컬러,무드 레시피 매트 립 컬러,화장품/미용,색조메이크업,립스틱,립메이크업
23,3CE,무드레시피 매트 립컬러 브릴리언트 멜로우플라워 스탭앤드고 스모크드로즈,무드레시피 매트 립컬러 브릴리언트 멜로우플라워 스탭앤드고 스모크드로즈,화장품/미용,색조메이크업,립스틱,립메이크업
24,3CE,멀티 아이 클리어 팔레트 웜 쿨,멀티 아이 클리어 팔레트 웜 쿨,화장품/미용,색조메이크업,아이섀도,아이섀도
