id_1,id_0,title_1,title_0,brand_name,category_1,category_0,similarity,dependency,max_length,min_length,dependency_ratio,dependency_count,jaro_winker,levenshtein_distance,levenshtein_similarity
0,106521,글로우 쿠션 본품 리필 spf50+ pa+++,글로우 쿠션 spf50+ pa+++,3ce,베이스메이크업,베이스메이크업,0.9333,0,20,16,1.0,4,,,
2,74518,레이어 커버링 스틱 파운데이션 spf27,레이어 커버링 스틱 파운데이션 spf27 pa++,3ce,베이스메이크업,베이스메이크업,0.9394,1,22,18,1.0,5,,,
3,74518,레이어 커버링 스틱 파운데이션 spf27,레이어 커버링 스틱 파운데이션 spf27 pa++,3ce,베이스메이크업,베이스메이크업,0.9394,1,22,18,1.0,5,,,
5,106552,글로우 립 컬러,글로우 립 컬러,3ce,립메이크업,립메이크업,1,1,6,6,1,3,,,
6,74566,멀티 아이 컬러 팔레트 클리어 에디션,클리어 레이어 에디션 멀티 아이 컬러 팔레트 샷 어게인,3ce,아이섀도,아이섀도,0.7384,0,22,15,1.0,6,,,
7,68054,쓰리씨이 레드 레시피 매트 립 컬러 돌리 #211,레드 레시피 립 컬러,3ce,립메이크업,립메이크업,0.8,0,20,8,1.0,4,,,
8,68054,쓰리씨이 레드 레시피 매트 립 컬러 피그 #213,레드 레시피 립 컬러,3ce,립메이크업,립메이크업,0.8,0,20,8,1.0,4,,,
9,95099,클리어 아이브로우 픽서,클리어 아이브로우 픽서,3ce,아이브로,아이브로,1,1,10,10,1,3,,,
11,68053,무드 레시피 멀티 아이 컬러 팔레트,무드 레시피 멀티 아이 컬러 팔레트 오버테이크,3ce,아이섀도,아이섀도,0.9123,1,19,14,1.0,6,,,
12,68053,아이섀도우 무드 레시피 멀티 아이 컬러 팔레트 오버테이크,무드 레시피 멀티 아이 컬러 팔레트 오버테이크,3ce,아이섀도,아이섀도,0.7727,1,24,19,1.0,7,,,
13,106480,무드 레시피 멀티 아이 컬러 팔레트 스무더,멀티 아이 컬러 팔레트 스무더,3ce,아이섀도,아이섀도,0.7908,1,17,12,1.0,5,,,
15,68054,무드 레드 레시피 립 컬러 미니 키트,레드 레시피 립 컬러,3ce,립메이크업,립메이크업,0.8155,1,14,8,1.0,4,,,
18,68059,무드 레시피 립 컬러 미니 키트,무드레시피 립 컬러,3ce,립메이크업,립메이크업,0.8889,1,12,8,1.0,3,,,
19,68059,쓰리씨이 무드 레시피 립 컬러 미니 키트,무드레시피 립 컬러,3ce,립메이크업,립메이크업,0.8333,1,16,8,1.0,3,,,
20,68054,레드레시피 립 컬러 문,레드 레시피 립 컬러,3ce,립메이크업,립메이크업,0.963,1,9,8,1.0,4,,,
21,68053,무드 레시피 멀티 아이 컬러 팔레트,무드 레시피 멀티 아이 컬러 팔레트 오버테이크,3ce,아이섀도,아이섀도,0.9123,1,19,14,1.0,6,,,
26,68059,무드 레시피 립 컬러 미니 키트,무드레시피 립 컬러,3ce,립메이크업,립메이크업,0.8889,1,12,8,1.0,3,,,
27,106508,글로우 잼 스틱,글로우 잼 스틱,3ce,립메이크업,립메이크업,1,1,6,6,1,3,,,
31,68053,무드 레시피 멀티 아이 컬러 팔레트 오버테이크,무드 레시피 멀티 아이 컬러 팔레트 오버테이크,3ce,아이섀도,아이섀도,1,1,19,19,1,7,,,
32,74505,테이크 어 레이어 멀티 팟,테이크 어 레이어 멀티 팟,3ce,컨투어링,컨투어링,1,1,10,10,1,5,,,
33,74505,테이크 어 레이어 멀티 팟,테이크 어 레이어 멀티 팟,3ce,컨투어링,컨투어링,1,1,10,10,1,5,,,
35,106527,쓰리씨이 글로우 빔 하이라이터,글로우 빔 하이라이터,3ce,컨투어링,컨투어링,0.7493,1,13,9,1.0,3,,,
36,106516,베베 컬러 립밤,베베 컬러 립밤,3ce,립메이크업,립메이크업,1,1,6,6,1,3,,,
37,74505,테이크 어 레이어 멀티 팟,테이크 어 레이어 멀티 팟,3ce,컨투어링,컨투어링,1,1,10,10,1,5,,,
38,68052,무드 레시피 페이스 블러쉬 누드피치 모노핑크 로즈베이지 퓨어케이크,무드 레시피 페이스 블러쉬,3ce,컨투어링,컨투어링,0.7931,1,29,11,1.0,4,,,
39,68052,무드 레시피 페이스 블러쉬 모노핑크 피치슬리브 누드피치,무드 레시피 페이스 블러쉬,3ce,컨투어링,컨투어링,0.8194,1,24,11,1.0,4,,,
40,68052,무드 레시피 페이스 블러쉬,무드 레시피 페이스 블러쉬,3ce,컨투어링,컨투어링,1,1,11,11,1,4,,,
41,68052,무드 레시피 페이스 블러쉬,무드 레시피 페이스 블러쉬,3ce,컨투어링,컨투어링,1,1,11,11,1,4,,,
42,104410,듀오 컬러 페이스 블러쉬,듀오 컬러 페이스 블러쉬,3ce,컨투어링,컨투어링,1,1,10,10,1,4,,,
43,104551,블러쉬 쿠션 소프트 브라운 쉐딩,블러쉬 쿠션 소프트 브라운,3ce,컨투어링,컨투어링,0.9487,1,13,11,1.0,4,,,
44,59833,내추럴 퍼펙션 프레쉬 선스틱,내추럴 퍼펙션 프레쉬 선스틱 spf50+ pa++++,ahc,선케어,선케어,0.8333,1,24,12,1.0,4,,,
45,59833,내추럴 퍼펙션 프레쉬 선스틱,내추럴 퍼펙션 프레쉬 선스틱 spf50+ pa++++,ahc,선케어,선케어,0.8333,1,24,12,1.0,4,,,
46,59833,내추럴 퍼펙션 프레쉬 선스틱,내추럴 퍼펙션 프레쉬 선스틱 spf50+ pa++++,ahc,선케어,선케어,0.8333,1,24,12,1.0,4,,,
59,77747,차앤박 클렌징 퍼펙타,클렌징 퍼펙타,cnp,클렌징,클렌징,0.8889,1,9,6,1.0,2,,,
60,77747,클렌징 퍼펙타 슬리핑 마스크 포 구매시 증정,클렌징 퍼펙타,cnp,클렌징,클렌징,0.7778,1,18,6,1.0,2,,,
61,77747,차앤박 클렌징 퍼펙타 대용량,클렌징 퍼펙타,cnp,클렌징,클렌징,0.8333,1,12,6,1.0,2,,,
62,77747,씨앤피 차앤박 클렌징 퍼펙타,클렌징 퍼펙타,cnp,클렌징,클렌징,0.0,1,12,6,1.0,2,,,
63,77747,차앤박 클렌징 퍼펙타,클렌징 퍼펙타,cnp,클렌징,클렌징,0.8889,1,9,6,1.0,2,,,
64,77747,차앤박 클렌징 퍼펙타,클렌징 퍼펙타,cnp,클렌징,클렌징,0.8889,1,9,6,1.0,2,,,
65,77747,차앤박 클렌징 퍼펙타 용량,클렌징 퍼펙타,cnp,클렌징,클렌징,0.8485,1,11,6,1.0,2,,,
66,77747,차앤박 클렌징 퍼펙타,클렌징 퍼펙타,cnp,클렌징,클렌징,0.8889,1,9,6,1.0,2,,,
67,65467,닥터지 레드 블레미쉬 클리어 수딩 바디 미스트 쿨링 바디스프레이 바디미스트추천 올리브영바디미스트,레드 블레미쉬 클리어 수딩 바디 미스트,dr.g,바디케어,바디케어,0.7907,1,43,16,1.0,6,,,
