id_1,id_0,title_1,title_0,brand_name,category_1,category_0,similarity,dependency,max_length,min_length,dependency_ratio,dependency_count,jaro_winker,levenshtein_distance,levenshtein_similarity
1,33336,화산송이 클레이 블랙헤드 마스크,화산송이 클레이 블랙헤드 마스크,1.618,마스크/팩,마스크/팩,1,1,14,14,1,4,,,
4,52777,브랜드 아이 펜슬 라이너,아이 펜슬 라이너,16brand,아이라이너,아이라이너,0.9,1,10,7,1,3,,,
5,52812,브랜드 브로우 펜슬 라이너,브로우 펜슬 라이너,16brand,아이브로,아이브로,0.9091,1,11,8,1.0,3,,,
6,52786,브랜드 갱스 브로우 메이커 듀오,갱스 브로우 메이커 듀오,16brand,아이브로,아이브로,0.8897,1,13,10,1.0,4,,,
7,52769,브랜드 만능 슈퍼 클렌징 밤,만능 슈퍼 클렌징 밤,16brand,클렌징,클렌징,0.9091,1,11,8,1.0,4,,,
8,52839,씨에스에이코스믹 브랜드 립 앤 아이 리무버,립 앤 아이 리무버,16brand,클렌징,클렌징,0.3995,1,18,7,1.0,4,,,
9,52844,브랜드 동키 밀크 클렌저,동키 밀크 클렌저,16brand,클렌징,클렌징,0.9,1,10,7,1.0,3,,,
10,52818,브랜드 밀크 필 클렌징 밤,밀크 필 클렌징 밤,16brand,클렌징,클렌징,0.9,1,10,7,1.0,4,,,
11,52782,브랜드 캔디 락 펄 파우더,캔디 락 펄 파우더,16brand,아이섀도,아이섀도,0.9,1,10,7,1.0,4,,,
42,69370,칵테일 벨벳 쁘띠 마스크,칵테일 벨벳 쁘띠 마스크,23yearsold,마스크/팩,마스크/팩,1,1,10,10,1,4,,,
44,69375,블랙 캐비디올 마스크,블랙 캐비디올 마스크,23yearsold,마스크/팩,마스크/팩,1,1,9,9,1,3,,,
45,69357,블랙 페인트 럽바,블랙 페인트 럽바,23yearsold,클렌징,클렌징,1,1,7,7,1,3,,,
46,69373,씨트라겔 모델링 마스크,씨트라겔 모델링 마스크,23yearsold,마스크/팩,마스크/팩,1,1,10,10,1,3,,,
47,69356,에어 레이닉 포어마스크,에어 레이닉 포어 마스크,23yearsold,마스크/팩,마스크/팩,1,1,10,10,1,3,,,
