id_1,id_0,title_1,title_0,brand_name,category,table_name,dependency_ratio,dependency_count,similarity,max_length,min_length,jaro_winker
1,72831,렐릭시르 뒤 마라부,렐릭시르 뒤 마라부,가란시아,에센스,naver_beauty_product_info_extended_v1_211217,1.0,3,1.0,8,8,
2,72837,아쿠아 레브 뛰,아쿠아 레브 뛰,가란시아,스킨/토너,naver_beauty_product_info_extended_v1_211217,1.0,3,1.0,6,6,
11,34,씨앗 담은 토닝 세럼,씨앗담은 토닝 세럼,가온,에센스,naver_beauty_product_info_extended_v1_211217,0.6667,2,1.0,8,8,
13,105058,파이토케미컬 울트라퓨어 카밍워터,울트라퓨어 카밍워터,씨씨붐,스킨/토너,naver_beauty_product_info_extended_v1_211217,1.0,2,0.6,15,9,
15,35,청순 에센스 인 오일 스킨,청순 에센스 인 오일 스킨,가온도담,스킨/토너,naver_beauty_product_info_extended_v1_211217,1.0,5,1.0,10,10,
20,51,링클 바운스 콜라겐 미스트앰플,콜라겐 미스트앰플,가히,스킨/토너,naver_beauty_product_info_extended_v1_211217,1.0,2,0.6154,13,8,
27,92703,겔라비트 무어 비타민 크림,겔라비트 무어 비타민 크림,게볼,크림,naver_beauty_product_info_extended_v1_211217,1.0,4,1.0,11,11,
27,92704,겔라비트 무어 비타민 크림,겔라비트 무어 비타민 크림,게볼,크림,naver_beauty_product_info_extended_v1_211217,1.0,4,1.0,11,11,
29,89,로르 래디언스 베이스,로르 래디언스 베이스,겔랑,베이스메이크업,naver_beauty_product_info_extended_v1_211217,1.0,3,1.0,9,9,
31,97,레 브왈레뜨 트랜스루센트 루스 파우더,레 브왈레뜨 트랜스루센트 루스 파우더,겔랑,베이스메이크업,naver_beauty_product_info_extended_v1_211217,1.0,5,1.0,16,16,
35,120,레 브왈레뜨 컴팩트 파우더,레 브왈레뜨 컴팩트 파우더,겔랑,베이스메이크업,naver_beauty_product_info_extended_v1_211217,1.0,4,1.0,11,11,
37,105,메테오리트 컴팩트 파우더,메테오리트 컴팩트 라이트 리빌링 파우더,겔랑,베이스메이크업,naver_beauty_product_info_extended_v1_211217,1.0,3,0.6471,17,11,
40,94,수퍼 아쿠아 세럼 인텐스 하이드레이션 링클 플럼퍼,수퍼 아쿠아 세럼,겔랑,에센스,naver_beauty_product_info_extended_v1_211217,1.0,3,0.3333,21,7,
