id,brand_name,product_name,selection,division,groups
64406,닥터자르트,[단종] 리뉴얼리스트 선 파우더 [SPF40/PA++],선케어,선쿠션,마일드선쿠션
8831,메이크업포에버,[단종] UV 프라임 [SPF50/PA+++],선케어,선베이스,
10863,보브,[단종] 수분 화이트 선 팩트 [SPF50+/PA+++],선케어,선쿠션,마일드선쿠션
102446,랑콤,UV 엑스퍼트 GN-쉴드 메이크업 베이스 [SPF50/PA+++],선케어,선베이스,
101835,티엔,[단종] 선크림 [SPF45/PA++],선케어,선크림,노세범선크림
84834,토니모리,[단종] UV선셋 올데이 롱 선크림 [SPF50+/PA+++],선케어,선크림,마일드선크림
99276,네이처리퍼블릭,수딩 앤 모이스처 알로에베라 92%,선케어,에프터선,수딩젤
109838,아넷사,[단종] 퍼펙트 UV 선스크린 AA [SPF50+/PA+++],선케어,선크림,워터프루프선크림
109840,아넷사,[단종] 마일드 페이스 선스크린 [SPF46/PA+++],선케어,선베이스,
87613,이니스프리,[단종] 에코 세이프티 쿨링 선 스프레이 [SPF50+/PA+++],선케어,선스프레이,
78170,뉴트로지나,[단종] 울트라쉬어 스포츠 선블럭 쿨링 미스트 [SPF30/PA+++],선케어,선스프레이,
79531,에뛰드,[단종] 쿨링 바디 선가드 [SPF30/PA+++],선케어,선스프레이,
52384,크리니크,[단종] 더마 화이트 시티 블록 안티-폴루션 [SPF40/PA+++],선케어,선크림,마일드선크림
104124,아벤느,[단종] 트레 오뜨 프로텍시옹 크렘 상 파르팡 [SPF50+],선케어,선크림,마일드선크림
95890,아리따움,[단종] 페이버릿 비 서머 브레이크 알로에 수딩 젤,선케어,에프터선,수딩젤
18339,키엘,[단종] 울트라 라이트 데일리 UV 디펜스 [SPF50/PA+++],선케어,선크림,마일드선크림
64718,바닐라코,[단종] 헬로 써니 선 블록 [SPF50+/PA+++],선케어,선크림,마일드선크림
64106,빌리프,[단종] 올마이티 선 파우더 [SPF50+/PA+++],선케어,선쿠션,마일드선쿠션
100444,비오템,[단종] UV 수프라 디톡스 [SPF50/PA+++],선케어,선베이스,
111099,VDL,[단종] 브라이트닝 선 베이스 [SPF40/PA++],선케어,선베이스,
73497,프리메라,[단종] 내츄럴 선스크린 [SPF50+/PA+++],선케어,선크림,마일드선크림
78009,니베아,[단종] 페이스 선 블록 모이스춰라이징 크림 [SPF50+/PA+++],선케어,선크림,마일드선크림
29222,에스케이투,[단종] WS 뎀데피니션 유브이로션 [SPF50/PA+++],선케어,선베이스,
20082,엘보라리오,[단종] 알로에 마카다미아 야외용 크림 [SPF25],선케어,선크림,마일드선크림
107324,록시땅,[단종] 엔젤리카 글로잉 UV 쉴드 [SPF40],선케어,선크림,마일드선크림
26480,이쪼메디,[단종] 화이트닝 선블록 [SPF42/PA++],선케어,선크림,마일드선크림
36475,이엔에스,[단종] 선크림 [SPF47/PA++],선케어,선크림,마일드선크림
57606,뉴트로지나,[단종] 울트라 쉬어 퓨어 마일드 선블럭 로션 [SPF50+/PA+++],선케어,선크림,마일드선크림
1756,뉴가닉,[단종] 커스터마이즈 선블록 프레시 [SPF50+/PA+++],선케어,선크림,마일드선크림
77761,CNP,[단종] 톤업 프로텍션 선 [SPF42/PA+++],선케어,선크림,톤업선크림
88077,이니스프리,[단종] 에코 세이프티 노세범 선블록 [SPF35/PA+++],선케어,선크림,마일드선크림
109843,아넷사,[단종] 퍼펙트 젤 선스크린 A+ [SPF50+/PA+++],선케어,선젤,
105414,싸이닉,[단종] 엔조이 퍼펙트 선 스프레이 [SPF50+/PA+++],선케어,선스프레이,
30360,입생로랑 뷰티,[단종] 탑 시크릿 유브이 쉴드 하이 프로텍션 유브이 스킨케어 [SPF50/PA+++],선케어,선크림,마일드선크림
75446,에이트루,[단종] 세이프 워터리 선블록 [SPF50+/PA+++],선케어,선크림,노세범선크림
75447,에이트루,[단종] 세이프 워터리 선블록 [SPF36/PA+++],선케어,선크림,마일드선크림
837,까쉐,[단종] 유브이 프로텍터 스틱 [SPF50+/PA+++],선케어,선스틱,
78008,니베아,[단종] 선 프로텍트 앤 리프레쉬 쿨링 미스트 [SPF50+/PA+++],선케어,선스프레이,
109808,유세린,[단종] 선 스프레이 트랜스패런트 [SPF50+],선케어,선스프레이,
101836,티엔,[단종] 후레쉬 수딩 썬 젤 [SPF30/PA++],선케어,선젤,
